Actions,WIID,Description,Type,Status,Date
,606804,Generate Yearly Report for Vendor,WI4,Open,2019-06-19
,233474,Generate Yearly Report for Vendor,WI4,Open,2018-03-26
,986704,Generate Yearly Report for Vendor,WI4,Open,2018-11-15
,752684,Generate Yearly Report for Vendor,WI4,Open,2019-05-07
,631664,Generate Yearly Report for Vendor,WI4,Open,2017-11-09
,481874,Generate Yearly Report for Vendor,WI4,Open,2019-03-04
,907204,Generate Yearly Report for Vendor,WI4,Open,2018-10-09
,583124,Generate Yearly Report for Vendor,WI4,Open,2017-10-30
,815464,Generate Yearly Report for Vendor,WI4,Open,2017-01-12
,180984,Generate Yearly Report for Vendor,WI4,Open,2018-03-18
,411574,Generate Yearly Report for Vendor,WI4,Open,2018-03-07
,161964,Generate Yearly Report for Vendor,WI4,Open,2017-07-22
